id	legalName	ateco	region	description
10	F2A S.P.A.	69	Lombardia	Azienda operante nell'ambito della consulenza amministrativa alle imprese, con attività focalizzate sulla gestione del personale per conto terzi. L'attività comprende l'elaborazione di paghe e contributi, la consulenza del lavoro e l'esecuzione di adempimenti previdenziali, fiscali e contabili. Vengono implementati sistemi informativi per la gestione dei turni, delle presenze e l'integrazione di applicativi destinati all'amministrazione delle risorse umane e alla contabilità, con processi di outsourcing delle attività amministrative.
11	MANELLI IMPRESA S.P.A.	42	Puglia	L'azienda opera nella costruzione di infrastrutture di trasporto stradale e ferroviario, con attività di progettazione ed esecuzione di opere civili quali strade, autostrade, piste aeroportuali, ponti, viadotti e strutture di impianti. Realizza interventi ingegneristici per la realizzazione di linee ferroviarie, collegamenti ferroviari, tunnel e gallerie scolmatrici, nonché lavori di edilizia che includono la costruzione e la riqualificazione di complessi abitativi e infrastrutture ad uso misto.
12	CESTARO ROSSI & C. - S.P.A.	33	Lombardia	L'azienda opera nella progettazione e realizzazione di impianti industriali, includendo la costruzione e il montaggio di sistemi strutturali in carpenteria metallica e tubazioni, la predisposizione di infrastrutture quali metanodotti, gasdotti e acquedotti, e il noleggio di attrezzature per uso industriale. Le attività comprendono anche la manutenzione, l'avviamento e la gestione di impianti manifatturieri, nonché l'installazione ed interventi su impianti elettrici di distribuzione, allestimento di cabine elettriche e ripristino di alimentazioni in bassa e media tensione.
13	AUTOSTRADE PER L'ITALIA S.P.A.	52	Lazio	L'attività si concentra sulla gestione in concessione della rete autostradale e sulla realizzazione di infrastrutture viarie correlate. Le operazioni comprendono la progettazione e la costruzione di infrastrutture stradali, quali autostrade, ponti e gallerie, nonché la manutenzione ordinaria e straordinaria delle stesse. Sono implementati sistemi tecnologici per il controllo della circolazione, il monitoraggio del traffico e la raccolta dei pedaggi, supportati da infrastrutture IT dedicate alla gestione operativa della rete. Vengono inoltre sviluppate infrastrutture intermodali e di sosta, integrate con sistemi di videosorveglianza e soluzioni per l'esecuzione di prove sui materiali impiegati nelle opere stradali.
14	"COOPERATIVA ITALIANA DI RISTORAZIONE SOCIETA' COOPERATIVA ESSA PUO' OPERARE ANCHE CON LA DENOMINAZIONE ""CIRFOOD S.C."""	56	Emilia-Romagna	L'azienda opera nella gestione di servizi mensa e di ristorazione collettiva, effettuando la produzione, il confezionamento, il trasporto e la distribuzione di pasti per istituzioni e strutture diverse. In aggiunta vengono erogate operazioni di somministrazione di alimenti e bevande a domicilio, e sono eseguiti interventi di pulizia, disinfezione, disinfestazione, derattizzazione e sanificazione in conformità a specifiche normative. L'attività si estende al commercio all'ingrosso di alimentari e prodotti gastronomici con operazioni di import-export e alla gestione di distributori automatici.
15	CENTRALE DEL LATTE D'ITALIA S.P.A.	10	Piemonte	L'azienda opera nel settore lattiero‐caseario, con attività centrali sul trattamento igienico del latte che comprendono il ricevimento delle materie prime, il trattamento termico e la pastorizzazione del latte in diverse tipologie, compresi latte fresco, UHT, ESL e delattosato. Le fasi produttive includono la fermentazione, la miscelazione e il confezionamento per la trasformazione in derivati quali panna, yogurt, burro, formaggi e altri prodotti lattiero‐caseari. Sono gestite operazioni di ricevimento e immissione in processo di materie prime e prodotti commercializzati sia a marchio proprio che di terzi, comprendenti anche attività di stoccaggio e spedizione.
16	BIRRA PERONI S.R.L.	11	Lazio	L'azienda opera nella trasformazione di materie prime specifiche per la produzione di birra, mediante processi industriali quali fermentazione, filtrazione e imbottigliamento. L'attività produttiva prevede la lavorazione di ingredienti di base, tra cui malto e luppolo, e l'elaborazione di varianti alcoliche e analcoliche destinate al settore food & beverage e alla distribuzione commerciale. La produzione è caratterizzata da un approccio tecnico nella gestione dei processi industriali e nella standardizzazione delle operazioni, con riferimento anche alla partecipazione a bandi pubblici per tirocini finalizzati all'inserimento lavorativo.
17	OLON S.P.A.	21	Lombardia	L'azienda si occupa della sintesi e produzione di principi attivi farmacologici mediante processi di fermentazione, estrazione, purificazione e sintesi chimica. La produzione comprende intermedi, semilavorati e reagenti destinati all'industria farmaceutica e alimentare, oltre a reagenti per analisi di biologia molecolare e cellulare e materiali tecnici per laboratorio. L'attività industriale comprende anche la fabbricazione di apparecchiature scientifiche per uso biomedicale e strumenti di laboratorio, unitamente alla rappresentanza tecnica nei settori della chimica, farmacia e biotecnologie. L'azienda gestisce inoltre operazioni di ricerca finalizzate all'acquisto e alla commercializzazione di brevetti, know how, modelli e marchi relativi a tecnologie di produzione e processi industriali.
18	KERING EYEWEAR S.P.A.	32	Veneto	L'azienda opera nella produzione in serie di montature per occhiali da vista e occhiali da sole, nonché nella fabbricazione di accessori per ottica. Inoltre, gestisce una piattaforma e-commerce per la distribuzione di occhiali. Le attività comprendono la progettazione tecnica, l'assemblaggio e il collaudo di componenti ottici per montature comuni.
19	GALILEO S.P.A.	46	Lazio	L'azienda opera nel settore del commercio all'ingrosso non specializzato, curando la distribuzione di referenze sistematiche che comprendono articoli da regalo, casalinghi, complementi d'arredo, stoviglie, piccoli elettrodomestici, elettronica, dispositivi di fai da te e attrezzature per il campeggio, il mare e il giardino, nonché ombrelli, bomboniere, ferramenta, giocattoli, articoli per l'infanzia, cartoleria, coltelleria, orologeria non preziosa e mobili. L'offerta commerciale integra componenti per la cucina, sistemi di ventilazione e soluzioni elettrotecniche destinate al settore residenziale e alla grande distribuzione, inclusa la fornitura in ambito alimentare e di prodotti di largo consumo. L'attività si caratterizza per la gestione di un ampio inventario e per la partecipazione a gare pubbliche che hanno riguardato l'approvvigionamento di dispositivi di protezione individuale, elementi di arredo per ambienti d'ufficio e componenti accessori per settori emergenti, evidenziando ulteriormente l'impegno nella diversificazione delle referenze commerciali.
20	ITALPOL VIGILANZA S.P.A.	80	Lazio	L'azienda esercita attività di vigilanza privata caratterizzate dalla custodia di proprietà mobiliari ed immobiliari mediante l'impiego di personale armato e non armato, unità cinofile e sistemi di teleallarme. Le operazioni comprendono la gestione e il coordinamento di impianti di videosorveglianza, l'installazione e la manutenzione di sistemi di allarme e tecnologie di monitoraggio, nonché la custodia in cassette di sicurezza. L'organizzazione esegue scorta e trasporto valori e realizza interventi su allarmi, integrando processi di investigazione e controllo in ambito aeroportuale, ferroviario e portuale. La struttura opera attraverso un centro operativo finalizzato al monitoraggio continuo e alla gestione degli interventi, avvalendosi di tecnologie telematiche per la comunicazione e il coordinamento degli eventi.
21	ROMEO GESTIONI S.P.A.	81	Campania	L'azienda opera nell'ambito della gestione integrata degli asset immobiliari attraverso lo sviluppo e l'implementazione di sistemi informativi gestionali specializzati in property management, facility management ed energy management. L'attività prevede la progettazione di piattaforme software finalizzate alla rilevazione, analisi e manutenzione degli edifici, comprendendo interventi strutturali, manutenzione edile, gestione degli impianti tecnologici e attività di supporto tecnico per il monitoraggio e l'organizzazione del patrimonio immobiliare. L'azienda realizza elaborati tecnici e supporti informatici destinati alla ricognizione e alla sistemazione del territorio, integrando soluzioni per la gestione operativa dei complessi edilizi ad alta frequentazione.
22	UNARETI S.P.A.	35	Lombardia	L'azienda opera nella distribuzione di combustibili gassosi mediante condotte, gestendo infrastrutture per la realizzazione, l'esercizio e la manutenzione di reti di distribuzione di gas naturale e energia elettrica. Le attività includono la progettazione, la realizzazione e la conduzione di impianti e reti, nonché la gestione tecnico-amministrativa degli interventi relativi alla posa, sostituzione, attivazione e disattivazione di gruppi di misura e contatori. Vengono eseguite operazioni di metering, lettura e telelettura, la movimentazione e lo stoccaggio dei materiali e interventi di modifica delle infrastrutture per la risoluzione di interferenze e il riassetto delle reti esistenti. L'organizzazione si occupa inoltre della preventivazione tecnico-economica e della pianificazione dei flussi dei materiali per il corretto funzionamento delle reti di distribuzione in contesti urbani e di filiera.
23	MASERATI S.P.A.	29	Emilia-Romagna	L'azienda opera nella progettazione, sviluppo e produzione di autoveicoli, con attività dedicate allo studio, ingegneria e realizzazione di sistemi automobilistici integrati. Le fasi operative comprendono il montaggio, la verniciatura e la revisione tecnica di unità veicolari, nonché la commercializzazione e assistenza tecnica su veicoli di propria produzione e di terzi. L'offerta comprende anche la produzione e distribuzione all'ingrosso di componenti meccanici e accessori specifici per veicoli. L'azienda ha inoltre partecipato a procedure pubbliche relative all'acquisto di veicoli con soluzioni di protezione balistica.
24	MEDIAMARKET SPA	47	Lombardia	L'azienda opera nel commercio al dettaglio di dispositivi tecnologici e componenti per l'elettronica di consumo, includendo elettrodomestici, apparecchiature informatiche, periferiche, strumenti per le telecomunicazioni, dispositivi acustico-visivi, attrezzature cine-foto-ottiche, nonché articoli affini quali casalinghi, mobili, utensili e strumenti di precisione; l'attività include la vendita tramite canali fisici e piattaforme di commercio elettronico e si caratterizza per l'aggregazione di procedimenti di fornitura attraverso gare pubbliche orientate all'approvvigionamento di hardware informatico, dispositivi mobili e accessori tecnologici.
25	TEKNOSERVICE S.R.L.	38	Piemonte	L'azienda opera nella gestione dei rifiuti solidi non pericolosi, includendo attività di raccolta, trasporto, raccolta differenziata e igiene urbana. L'attività si articola inoltre in operazioni di compattazione della plastica, autotrasporto di merci, noleggio di macchine e attrezzature per l'edilizia, movimentazione terra, escavazioni e lavori edili. Sono inoltre presenti attività di manutenzione aree verdi, operazioni di carpenteria metallica e tubisteria, e processi di lavaggio e disinfezione dei contenitori per la raccolta dei rifiuti. Le operazioni comprendono inoltre il trattamento di rifiuti speciali, pericolosi, urbani e assimilabili, nonché operazioni di commercio e intermediazione di rifiuti e rottami metallici.
26	GROENLANDIA S.R.L.	59	Lazio	La società opera nella produzione di contenuti audiovisivi attraverso attività di realizzazione di lungometraggi, cortometraggi, serie televisive, documentari e spot pubblicitari. L'attività comprende le fasi di pre-produzione, produzione, post-produzione e distribuzione cine-televisiva, con gestione delle operazioni di coproduzione e dei servizi relativi alla registrazione e al montaggio dei contenuti.
27	MIORELLI SERVICE S.P.A.	81	Trentino-Alto Adige/Südtirol	L'azienda fornisce un insieme di operazioni nel settore dell'igiene ambientale con attività di pulizia, derattizzazione, disinfestazione e sanificazione applicate a contesti civili, autostradali, industriali, ospedalieri, scolastici, nonché a mezzi di trasporto e sistemi telefonici/informatici. Sono erogati interventi di ausiliariato comprendenti portierato, centralino e facchinaggio con movimentazione dei carichi, unitamente a operazioni di piccole manutenzioni e manutenzione del verde. Viene inoltre gestita l'intermediazione e il commercio di rifiuti, con raccolta e trasporto di rifiuti speciali non pericolosi, supportati da sistemi informativi dedicati alla gestione dei dati e dei processi operativi. L'offerta comprende inoltre soluzioni di soft facility management integrate con operazioni accessorie in ambito immobiliare e gestione strutturale dei servizi erogati.
28	O.R.I. MARTIN - ACCIAIERIA E FERRIERA DI BRESCIA S.P.A. IN SIGLA O.R.I. MARTIN S.P.A.	24	Lombardia	L'azienda opera nel settore siderurgico mediante l'utilizzo di forno elettrico per la fusione di rottami e la produzione di acciai speciali. La filiera produttiva comprende la colata continua, la laminazione a caldo e la trafilatura rotolo-rotolo, con fasi operative che includono riscaldamento, decapaggio chimico, trattamenti termici e raffreddamento controllato. La produzione industriale si articola nella fabbricazione di billette, tondo, barre, bobine di filo e sagomati, destinati a applicazioni nei settori automotive, meccanico e delle costruzioni.
29	ISTITUTO EUROPEO DI ONCOLOGIA SRL	86	Lombardia	Coordina la costruzione di un immobile destinato a centro di ricerca e cura in ambito oncologico. Svolge attività di diagnosi clinica e trattamenti specialistici in oncologia, includendo ambiti di oncoematologia, diagnosi di malattie neoplastiche e relative prestazioni di laboratorio. Gestisce servizi di laboratorio specialistico comprendenti analisi citofluorometriche, biologia molecolare, genetica medica, anatomia patologica e diagnostica molecolare. Realizza attività di ricerca clinica e sperimentale con protocolli per lo sviluppo di nuove terapie oncologiche. Esegue anche il commercio elettronico di prodotti cosmetici, dietetici, integratori alimentari, prodotti per l’igiene, articoli sanitari ed elettromedicali. Coordina inoltre attività didattiche per corsi in ambito infermieristico e supporta l’erogazione di prestazioni sociosanitarie connesse alla diagnosi, terapia, degenza, e gestione di laboratori analitici.
30	MEDCENTER CONTAINER TERMINAL S.P.A.	52	Calabria	L'azienda opera nella gestione operativa di terminal container, concentrandosi sulle attività di stivaggio e movimentazione di container nonché sul coordinamento dei trasferimenti intermodali tra vie marittime, stradali, ferroviarie. L'infrastruttura è dotata di attrezzature per il carico e scarico container e include un portale digitale finalizzato alla gestione operativa delle operazioni logistiche.
31	SERVIZI AUSILIARI SICILIA SOCIETA' CONSORTILE PER AZIONI	91	Sicilia	Erogazione di attività per la custodia, conservazione e gestione della fruibilità dei beni culturali in strutture quali siti archeologici, musei, gallerie e biblioteche. Attività strumentali mirate al supporto operativo delle istituzioni pubbliche responsabili della gestione dei luoghi storici e degli spazi culturali mediante l'impiego di personale specializzato e operazioni di servizio amministrativo. Le prestazioni comprendono sia il mantenimento del patrimonio materiale, sia l'organizzazione operativa del personale in convenzione per l'adempimento di funzioni relative a settori culturali, ambientali e di istruzione pubblica.
32	ELI LILLY ITALIA - S.P.A.	21	Toscana	L'azienda opera nella fabbricazione di preparati farmaceutici, segnatamente nella sintesi, formulazione, dispensa delle materie prime, riempimento, ispezione visiva e confezionamento dei prodotti. L'organizzazione produce specialità medicinali, inclusi farmaci biotecnologici iniettabili e dispositivi di somministrazione pre-riempiti, e si occupa dello sviluppo e della produzione di preparati per diversi ambiti terapeutici, quali oncologia, endocrinologia, neurologia, gastroenterologia e malattie cardiovascolari. Le attività includono l'approvvigionamento e la gestione di bandi pubblici per la fornitura di medicinali ed emoderivati attraverso procedure aperte e negoziate.
33	IVH S.R.L.	81	Veneto	L'azienda esegue operazioni di pulizia e disinfezione per strutture nel settore turistico-alberghiero, integrando attività di disinfestazione, derattizzazione e sanificazione. Le operazioni comprendono pulizie civili e industriali, facchinaggio e interventi di pulizia programmata in contesti ricettivi e in spazi espositivi. Vengono inoltre erogate prestazioni relative alla ristorazione tecnica per eventi e servizi di mensa, unitamente a operazioni di pulizia integrata per ambienti esterni e interni in occasione di attività extra. 
34	COMET S.P.A.	47	Emilia-Romagna	L'azienda opera nella distribuzione integrata di materiale elettrico, apparecchiature per illuminazione e componenti elettroniche destinate a installazioni civili e industriali. L'attività si articola nella gestione di reti di commercio al dettaglio specializzato e distribuzione all'ingrosso, con segmentazione tra la fornitura per il consumatore finale e per l'utenza tecnica. La struttura organizzata prevede l'approvvigionamento, la logistica centralizzata e la gestione di cataloghi tecnici per l'erogazione di sistemi elettrici, impianti di automazione industriale e dispositivi elettronici. L'esecuzione di contratti pubblici riguarda la fornitura di materiale elettrico, sistemi di alimentazione, apparecchi di illuminazione e componenti per la manutenzione degli impianti.
35	EDISON S.P.A.	35	Lombardia	L'azienda esercita operazioni di acquisizione di partecipazioni in imprese industriali attive nel settore dell'energia. La principale attività operativa è il commercio di gas naturale distribuito mediante condotte. Sono evidenti operazioni nell'approvvigionamento e nella fornitura di energia elettrica, con esecuzione di contratti pubblici per l'erogazione di energia elettrica in ambiti industriali, universitari e istituzionali. Le attività comprendono processi relativi alla gestione delle filiere gas e energia elettrica, inquadrate all'interno di operazioni di appalti per la fornitura energetica.
36	ACCIAIERIA ARVEDI S.P.A.	24	Lombardia	L'attività prevede la produzione e lavorazione di acciai generici e speciali mediante laminazione a caldo e a freddo, con applicazione dei processi ISP ed ESP, operazioni di decapaggio, zincatura per immersione e verniciatura. Vengono realizzati laminati piani, tubi saldati in acciaio al carbonio e in acciaio inossidabile e nastri di precisione in acciaio inox. L'attività integra inoltre operazioni di deposito, importazione ed esportazione di prodotti siderurgici e materiali ferrosi, nonché lavorazione di tubi in acciaio.
37	SUPERBETON S.P.A.	23	Veneto	L'azienda esegue operazioni di lavaggio, selezione, estrazione, frantumazione e macinazione del materiale ghiaioso, seguite dalla lavorazione degli aggregati per la produzione di leganti idraulici e calcestruzzo preconfezionato. L'attività comprende il movimento terra e l'autotrasporto di merci per conto terzi, con particolare focalizzazione sulla produzione di calcestruzzo preconfezionato e sulla formulazione di conglomerati bituminosi e materiali cementizi, definiti in specifiche classi tecniche. L'uso di impianti automatizzati per la lavorazione degli inerti provenienti da cave garantisce una fornitura conforme alle specifiche tecniche richieste, come evidenziato nelle forniture franco cantiere di calcestruzzo, inerti, conglomerati e materiali bituminosi per applicazioni stradali.
38	IL GABBIANO - SOCIETA' COOPERATIVA SOCIALE - ONLUS	88	Lombardia	L'organizzazione opera nell'erogazione di interventi socio-sanitari non residenziali, con progettazione e gestione di assistenza domiciliare per anziani e di strutture residenziali e semi-residenziali dedicate a soggetti fragili. In tale ambito vengono attivati interventi di assistenza infermieristica, supporto per degenza in reparti di sub-acuti e somministrazione di cure palliative domiciliari. L'attività comprende la realizzazione di programmi di assistenza scolastica per soggetti con disabilità e la gestione di centri diurni per il supporto socio-assistenziale e sanitario, integrando servizi di riabilitazione in ambito psichiatrico e specialistico in regimi residenziali e diurni.
39	B. & B. SERVICE SOCIETA' COOPERATIVA	81	Toscana	L'azienda opera nell'esecuzione di interventi di pulizia generale in edifici e strutture, mediante operazioni tecniche di sanificazione, disinfezione, disinfestazione, derattizzazione e diserbi su immobili di natura civile, industriale, commerciale, sanitaria, culturale, sociale e religiosa. Le attività sono realizzate su aree coperte e scoperte e comprendono le lavorazioni affini volte alla gestione dell'igiene ambientale in contesti non specializzati.
40	MD S.P.A.	47	Campania	L'entità opera nel settore del discount alimentare e della grande distribuzione organizzata mediante punti vendita locali che offrono un assortimento tecnico di prodotti alimentari freschi e confezionati, integrato da referenze nel comparto biologico e articoli per la cura personale. L'attività prevede la gestione di reti logistiche con depositi moderni finalizzati alla movimentazione di elevati quantitativi di merci e l'implementazione di sistemi di franchising per l'apertura di ulteriori unità retail. L'operazione commerciale si fonda su un modello di distribuzione evoluto, con un portafoglio referenze esteso e strutture operative dedicate alla gestione e alla funzionalizzazione delle unità di vendita.
41	GENERAL LOGISTICS SYSTEMS ENTERPRISE S.R.L. IN BREVE GLS ENTERPRISE S.R.L.	52	Lombardia	L'azienda opera nell'organizzazione e gestione del trasporto terrestre su scala nazionale e internazionale, caratterizzato dalla movimentazione door-to-door di pacchi e documentazione. Le operazioni includono la spedizione espressa per clientela aziendale e individuale attraverso modalità di trasporto multimodale, corriere espresso e trasporto camionistico. L'attività logistica integra processi di ritiro programmato, tracciamento in tempo reale, imballaggio tecnico ed etichettatura standardizzata, supportati da piattaforme informatiche per l'automatizzazione delle operazioni. L'organizzazione esegue incarichi derivanti da procedure negoziate nell'ambito del trasporto di campioni, documenti e merci specifiche, mediante l'impiego di infrastrutture logistiche integrate e modalità operative verificate nel settore di supporto alle attività di trasporto.
42	NAPOLITRANS - SOCIETA' A RESPONSABILITA' LIMITATA	49	Campania	L'azienda opera nel settore del trasporto merci su strada, specializzandosi nel settore agroalimentare con movimentazione di prodotti a temperatura controllata. La flotta comprende autotrasporti e semirimorchi dotati di impianti frigoriferi in grado di mantenere una gamma termica da -30°C a +18°C. Le infrastrutture comprendono piattaforme logistiche con celle refrigerate per lo stoccaggio e operazioni di carico, scarico, deposito e imballaggio dei prodotti. L'organizzazione logistica integra sistemi di monitoraggio per la tracciabilità in tempo reale del ciclo di trasporto dalla presa in carico degli ordini fino alla consegna della merce.
43	ENGIE SERVIZI S.P.A.	43	Lazio	L'azienda opera nell'installazione, conduzione e manutenzione di impianti tecnologici. Vengono realizzati impianti termici, di ventilazione e di condizionamento, impianti elettrici e telematici, impianti idraulici, idrici e sanitari, nonché impianti per la distribuzione e l'utilizzazione del gas. L'attività comprende lo scorporo di opere edilizie per impianti tecnologici, il posizionamento in opera di isolamenti termici e acustici, la realizzazione e la gestione di impianti per la produzione, trasformazione, trasporto e distribuzione dell'energia elettrica, dispositivi di protezione contro le scariche atmosferiche e sistemi di automazione per dispositivi meccatronici. Vengono altresì operativi impianti radiotelevisivi, sistemi di sollevamento e impianti di protezione antincendio, integrati con soluzioni per teleriscaldamento e cogenerazione.
44	PLURIMA S.P.A.	63	Lombardia	L'azienda opera nella gestione documentale e nella logistica sanitaria integrata. Le attività comprendono l'esternalizzazione dell'archiviazione cartacea e digitale, la digitalizzazione tramite sistemi di data entry e ottica, e il coordinamento dei flussi documentali. Vengono erogati servizi di trasporto controllato su strada di medicinali, dispositivi medici, campioni biologici, sangue, emocomponenti, plasma ed emoderivati, unitamente al trasporto interno ed esterno di pazienti e alla gestione di facchinaggio presso presidi sanitari. L'organizzazione include la gestione di magazzini economali e farmaceutici e l'implementazione di sistemi di prelievo di campioni biologici con relativa tracciabilità della fase pre-analitica, supportando altresì attività di outsourcing amministrativo.
45	COOPERATIVA SOCIALE QUADRIFOGLIO - ONLUS	87	Piemonte	L'organizzazione gestisce strutture di assistenza infermieristica residenziale con erogazione di assistenza sanitaria e riabilitativa per anziani e soggetti con disabilità. Le attività operative comprendono la gestione tecnica delle residenze socio-sanitarie, l'implementazione di protocolli di assistenza infermieristica riabilitativa e di supporto socio-educativo, l'organizzazione delle attività di bidelleria e servizi di pulizia tecnica in contesti residenziali, nonché l'erogazione di interventi di supporto nell'ambito dell'inclusione scolastica di alunni con disabilità.
46	MARCEGAGLIA CARBON STEEL S.P.A.	24	Lombardia	L'azienda opera nella lavorazione meccanica dell'acciaio al carbonio attraverso processi di laminazione, saldatura e decapaggio. L'attività principale consiste nella fabbricazione di tubi saldati longitudinalmente e elettrosaldata, unitamente alla produzione di nastri in acciaio, profilati a freddo, tubi trafilati e lamiere. I processi produttivi includono fasi quali ricottura, spianatura, cesoiatura e operazioni di lavorazione meccanica per la trasformazione di acciaio preverniciato, zincato e legato. Le linee di produzione integrano tecnologie avanzate per la realizzazione di prodotti piani e cavi, con particolare attenzione alla lavorazione automatizzata e alla gestione integrata della filiera di trasformazione dell'acciaio.
